trace_name,station,true_s_sample,raw_s_peak_count,max_s_sample,max_s_probability,nearest_raw_s_sample,nearest_raw_s_probability,nearest_raw_s_error_samples,nearest_raw_s_abs_error_s,nearest_raw_s_within_near_samples,normal_picker_s_sample,normal_picker_s_error_samples,normal_picker_s_abs_error_s
OUF.HE_20250205121433_HH_EV,OUF,5088,0,0,8.33272933959961e-05,,,,,False,,,
SUF.HE_20250110115110_HH_EV,SUF,5456,0,5419,0.00033992528915405273,,,,,False,,,
HEL5.HE_20250207121747_HH_EV,HEL5,4927,0,0,4.51207160949707e-05,,,,,False,,,
KUNI.HE_20250121124817_HH_EV,KUNI,2916,0,0,4.2766332626342773e-05,,,,,False,,,
JOF.HE_20250228124249_HH_EV,JOF,5101,0,0,0.0013034343719482422,,,,,False,,,
KPF.HE_20250221130320_HH_EV,KPF,3707,0,0,6.22868537902832e-05,,,,,False,,,
RANF.FN_20250128002831_HH_EV,RANF,5079,0,0,0.00015786290168762207,,,,,False,,,
RUF.HE_20250124140824_HH_EV,RUF,3973,0,5964,0.00018110871315002441,,,,,False,,,
KAF.HE_20250113110116_HH_EV,KAF,4734,0,0,0.0001729428768157959,,,,,False,,,
AAL.UP_20250122120809_HH_EV,AAL,4678,0,0,9.304285049438477e-05,,,,,False,,,
TOF.HE_20250227114836_HH_EV,TOF,2977,0,0,8.177757263183594e-05,,,,,False,,,
ALAJF.HE_20250225101758_HH_EV,ALAJF,4744,0,0,0.00010085105895996094,,,,,False,,,
ALAJF.HE_20250107142653_HH_EV,ALAJF,3663,0,0,0.00013694167137145996,,,,,False,,,
VJF.HE_20250131090133_HH_EV,VJF,3445,0,3443,0.002972155809402466,,,,,False,,,
OUL.FN_20250219124505_HH_EV,OUL,2409,0,2505,0.0005996823310852051,,,,,False,,,
RNF.FN_20250221200536_HH_EV,RNF,5285,0,0,5.1081180572509766e-05,,,,,False,,,
MSF.FN_20250131091828_HH_EV,MSF,5405,0,0,0.0001017153263092041,,,,,False,,,
OBF8.HE_20250214094723_HH_EV,OBF8,4955,0,0,3.841519355773926e-05,,,,,False,,,
RANF.FN_20250219124512_HH_EV,RANF,2516,0,0,0.00013515353202819824,,,,,False,,,
MSF.FN_20250226122036_HH_EV,MSF,4869,0,0,9.810924530029297e-05,,,,,False,,,
KEV.HE_20250128200723_HH_EV,KEV,4995,0,0,0.00013491511344909668,,,,,False,,,
LAUT.HE_20250113135546_HH_EV,LAUT,1874,0,0,5.179643630981445e-05,,,,,False,,,
HEL5.HE_20250213105503_HH_EV,HEL5,3279,0,0,0.00012108683586120605,,,,,False,,,
RAF.HE_20250207091621_HH_EV,RAF,4420,0,0,8.156895637512207e-05,,,,,False,,,
RAJF.FN_20250218002354_HH_EV,RAJF,5308,0,0,0.0001195669174194336,,,,,False,,,
RMF.HE_20250113110058_HH_EV,RMF,2139,0,0,8.574128150939941e-05,,,,,False,,,
KAF.HE_20250225101732_HH_EV,KAF,5248,0,0,6.595253944396973e-05,,,,,False,,,
FIA0.HE_20250114135750_HH_EV,FIA0,3484,0,0,0.00017747282981872559,,,,,False,,,
RAJF.FN_20250221131902_HH_EV,RAJF,4526,0,4967,0.0005809664726257324,,,,,False,,,
KIF.HE_20250129111549_HH_EV,KIF,3990,0,0,9.548664093017578e-05,,,,,False,,,
LAUT.HE_20250205130009_HH_EV,LAUT,4363,0,0,7.867813110351562e-05,,,,,False,,,
RAJF.FN_20250213075026_HH_EV,RAJF,4042,0,0,6.788969039916992e-05,,,,,False,,,
OLKF.FN_20250221131900_HH_EV,OLKF,4964,0,0,0.0007214844226837158,,,,,False,,,
HEL5.HE_20250212112857_HH_EV,HEL5,3141,0,0,9.21785831451416e-05,,,,,False,,,
KAF.HE_20250124115403_HH_EV,KAF,4893,0,0,7.304549217224121e-05,,,,,False,,,
OUF.HE_20250206115537_HH_EV,OUF,4583,0,0,7.420778274536133e-05,,,,,False,,,
JOF.HE_20250216194923_HH_EV,JOF,3170,0,0,5.868077278137207e-05,,,,,False,,,
LAUT.HE_20250206140152_HH_EV,LAUT,1632,0,0,0.00014105439186096191,,,,,False,,,
AAL.UP_20250127110000_HH_EV,AAL,2199,0,0,6.0051679611206055e-05,,,,,False,,,
HEL5.HE_20250212102500_HH_EV,HEL5,4220,0,4216,0.019863754510879517,,,,,False,,,
TVF.HE_20250116091900_HH_EV,TVF,2853,0,0,8.33272933959961e-05,,,,,False,,,
KU6.HE_20250105201441_HH_EV,KU6,4273,0,0,7.808208465576172e-05,,,,,False,,,
VAF.HE_20250116114217_HH_EV,VAF,3795,0,0,0.0004451274871826172,,,,,False,,,
FIA0.HE_20250131090204_HH_EV,FIA0,2865,0,0,4.032254219055176e-05,,,,,False,,,
KEF.HE_20250129115635_HH_EV,KEF,5032,0,0,0.00034427642822265625,,,,,False,,,
RAF.HE_20250225121849_HH_EV,RAF,2662,0,2693,0.0005240738391876221,,,,,False,,,
OBF0.HE_20250110124812_HH_EV,OBF0,3282,0,0,8.091330528259277e-05,,,,,False,,,
LAUT.HE_20250217152740_HH_EV,LAUT,4598,0,4665,0.0031834542751312256,,,,,False,,,
FIA0.HE_20250212115928_HH_EV,FIA0,3489,0,3853,0.0003350973129272461,,,,,False,,,
KEF.HE_20250127135247_HH_EV,KEF,4348,0,0,0.00013518333435058594,,,,,False,,,
VUOS.HE_20250204142655_HH_EV,VUOS,4595,0,0,7.262825965881348e-05,,,,,False,,,
KAF.HE_20250212115917_HH_EV,KAF,4087,0,0,0.00011968612670898438,,,,,False,,,
LAUT.HE_20250211132820_HH_EV,LAUT,2995,0,0,6.0558319091796875e-05,,,,,False,,,
FIA1.HE_20250114135755_HH_EV,FIA1,3044,0,0,7.402896881103516e-05,,,,,False,,,
HEF.HE_20250225123244_HH_EV,HEF,5224,0,0,5.9217214584350586e-05,,,,,False,,,
KPF.HE_20250113125837_HH_EV,KPF,2673,0,0,0.00014287233352661133,,,,,False,,,
LAUT.HE_20250127124312_HH_EV,LAUT,4147,0,0,6.255507469177246e-05,,,,,False,,,
VJF.HE_20250124114131_HH_EV,VJF,2514,0,2840,0.021097451448440552,,,,,False,,,
MEF.HE_20250227085938_HH_EV,MEF,3162,1,3152,0.6340901851654053,3152,0.6340901851654053,10,0.1,True,3152,10,0.1
HEL1.HE_20250110110057_HH_EV,HEL1,3014,0,0,0.0001291334629058838,,,,,False,,,
RAF.HE_20250204124540_HH_EV,RAF,4838,0,0,0.0001552104949951172,,,,,False,,,
MEF.HE_20250220092104_HH_EV,MEF,2907,0,0,6.777048110961914e-05,,,,,False,,,
RAF.HE_20250113125829_HH_EV,RAF,4184,0,0,0.00019314885139465332,,,,,False,,,
OUL.FN_20250108120159_HH_EV,OUL,2724,0,0,5.170702934265137e-05,,,,,False,,,
KEV.HE_20250219000547_HH_EV,KEV,4810,0,4824,0.08795657753944397,,,,,False,,,
VAF.HE_20250206084843_HH_EV,VAF,4252,0,0,8.410215377807617e-05,,,,,False,,,
KU6.HE_20250226122045_HH_EV,KU6,4910,0,0,0.00012484192848205566,,,,,False,,,
KAF.HE_20250130105937_HH_EV,KAF,4770,0,0,0.00013142824172973633,,,,,False,,,
AAL.UP_20250117130355_HH_EV,AAL,4915,0,0,0.00010156631469726562,,,,,False,,,
MEF.HE_20250227154158_HH_EV,MEF,2217,0,0,7.24494457244873e-05,,,,,False,,,
KUNI.HE_20250219152749_HH_EV,KUNI,3829,0,0,6.696581840515137e-05,,,,,False,,,
RAF.HE_20250204114535_HH_EV,RAF,1793,0,0,8.487701416015625e-05,,,,,False,,,
KEV.HE_20250207131214_HH_EV,KEV,3732,0,0,7.200241088867188e-05,,,,,False,,,
RAJF.FN_20250217200526_HH_EV,RAJF,4510,0,0,5.653500556945801e-05,,,,,False,,,
AAL.UP_20250116104429_HH_EV,AAL,5327,0,0,0.00011819601058959961,,,,,False,,,
OUF.HE_20250110124817_HH_EV,OUF,3456,0,0,0.00011435151100158691,,,,,False,,,
MEF.HE_20250122131034_HH_EV,MEF,2126,0,2176,0.007291883230209351,,,,,False,,,
KEF.HE_20250227101954_HH_EV,KEF,4179,0,0,7.325410842895508e-05,,,,,False,,,
NUR.HE_20250219114023_HH_EV,NUR,3881,0,0,7.781386375427246e-05,,,,,False,,,
RNF.FN_20250109100335_HH_EV,RNF,5429,0,0,5.811452865600586e-05,,,,,False,,,
MEF.HE_20250204142643_HH_EV,MEF,5187,0,5193,0.006158679723739624,,,,,False,,,
NUR.HE_20250203142831_HH_EV,NUR,4612,0,5967,0.0008369386196136475,,,,,False,,,
KPF.HE_20250124114126_HH_EV,KPF,5052,0,0,0.00017344951629638672,,,,,False,,,
RAJF.FN_20250131114613_HH_EV,RAJF,3995,0,0,0.00010272860527038574,,,,,False,,,
HEL5.HE_20250113140121_HH_EV,HEL5,1461,0,1503,0.0730505883693695,,,,,False,,,
KPF.HE_20250220114643_HH_EV,KPF,4850,0,0,0.00012353062629699707,,,,,False,,,
OUF.HE_20250225132007_HH_EV,OUF,4854,0,0,8.741021156311035e-05,,,,,False,,,
FIA0.HE_20250205125803_HH_EV,FIA0,3323,0,0,8.404254913330078e-05,,,,,False,,,
FIA0.HE_20250227100127_HH_EV,FIA0,4873,0,0,0.00010710954666137695,,,,,False,,,
RAJF.FN_20250215162151_HH_EV,RAJF,5342,0,0,5.075335502624512e-05,,,,,False,,,
HEL1.HE_20250110100028_HH_EV,HEL1,4926,0,0,0.00010019540786743164,,,,,False,,,
TOF.HE_20250226131818_HH_EV,TOF,4125,0,0,7.617473602294922e-05,,,,,False,,,
TOF.HE_20250129121223_HH_EV,TOF,2264,0,0,9.554624557495117e-05,,,,,False,,,
RAJF.FN_20250207160303_HH_EV,RAJF,3454,0,0,0.0002650916576385498,,,,,False,,,
KLF.FN_20250116120607_HH_EV,KLF,4264,0,0,0.00012382864952087402,,,,,False,,,
AAL.UP_20250211141126_HH_EV,AAL,3092,0,0,0.00013002753257751465,,,,,False,,,
KU6.HE_20250104110634_HH_EV,KU6,5327,0,0,0.00017812848091125488,,,,,False,,,
LAUT.HE_20250219135953_HH_EV,LAUT,1831,0,0,4.228949546813965e-05,,,,,False,,,
SUF.HE_20250131081742_HH_EV,SUF,4208,0,0,0.00015980005264282227,,,,,False,,,
RAF.HE_20250220114716_HH_EV,RAF,2993,0,5967,0.0007100999355316162,,,,,False,,,
