trace_name,station,true_s_sample,raw_s_peak_count,max_s_sample,max_s_probability,nearest_raw_s_sample,nearest_raw_s_probability,nearest_raw_s_error_samples,nearest_raw_s_abs_error_s,nearest_raw_s_within_near_samples,normal_picker_s_sample,normal_picker_s_error_samples,normal_picker_s_abs_error_s
KEF.HE_20250629201521_HH_EV,KEF,4473,1,4493,0.364033579826355,4493,0.364033579826355,-20,0.2,True,4493,-20,0.2
TRE03.HE_20250811205829_CH_EV,TRE03,4758,1,4765,0.32326313853263855,4765,0.32326313853263855,-7,0.07,True,4765,-7,0.07
ECKF.HE_20250326050604_CH_EV,ECKF,4292,1,4320,0.47376590967178345,4320,0.47376590967178345,-28,0.28,True,4320,,
RNF.FN_20250512031140_BH_EV,RNF,5302,2,4975,0.12314096093177795,4975,0.12314096093177795,327,3.27,False,,,
KLF.FN_20250127221848_BH_EV,KLF,5025,2,5049,0.17677775025367737,5049,0.17677775025367737,-24,0.24,True,,,
KORF.HE_20251222221629_CH_EV,KORF,3617,1,3675,0.24982202053070068,3675,0.24982202053070068,-58,0.58,False,3675,,
KJNF.HE_20250228014652_CH_EV,KJNF,3992,1,3973,0.39601996541023254,3973,0.39601996541023254,19,0.19,True,3973,19,0.19
KEF.HE_20250811205851_HH_EV,KEF,4081,1,4075,0.248815655708313,4075,0.248815655708313,6,0.06,True,4075,6,0.06
SGF.FN_20250823205930_BH_EV,SGF,4826,1,4812,0.2860172986984253,4812,0.2860172986984253,14,0.14,True,4812,14,0.14
KY17.HE_20250701212345_CH_EV,KY17,2341,1,2345,0.4720933139324188,2345,0.4720933139324188,-4,0.04,True,2345,-4,0.04
NUR.HE_20251018035814_HH_EV,NUR,4106,1,4090,0.16703301668167114,4090,0.16703301668167114,16,0.16,True,,,
VAF.HE_20251217194318_HH_EV,VAF,3328,1,3326,0.3376272916793823,3326,0.3376272916793823,2,0.02,True,3326,2,0.02
ECKF.HE_20250903113400_CH_EV,ECKF,3874,1,3999,0.13752669095993042,3999,0.13752669095993042,-125,1.25,False,,,
TOF.HE_20250629233300_HH_EV,TOF,4224,1,4216,0.2197318971157074,4216,0.2197318971157074,8,0.08,True,4216,8,0.08
RNF.FN_20251102225714_BH_EV,RNF,4191,1,4201,0.19688203930854797,4201,0.19688203930854797,-10,0.1,True,4201,-10,0.1
PVF.HE_20250425210850_CH_EV,PVF,2432,1,5998,0.14657709002494812,5998,0.14657709002494812,-3566,35.66,False,,,
KU2.HE_20251228223133_CH_EV,KU2,2806,1,2825,0.4871458411216736,2825,0.4871458411216736,-19,0.19,True,2825,-19,0.19
KY02.HE_20250924122428_CH_EV,KY02,5165,1,0,0.19355937838554382,5998,0.12093988060951233,-833,8.33,False,,,
KEV.HE_20250121121931_HH_EV,KEV,3652,1,3665,0.2978711724281311,3665,0.2978711724281311,-13,0.13,True,3665,-13,0.13
TOF.HE_20250102044202_HH_EV,TOF,3760,1,3775,0.16933929920196533,3775,0.16933929920196533,-15,0.15,True,,,
KU6.HE_20250308143540_HH_EV,KU6,4227,1,4205,0.28482091426849365,4205,0.28482091426849365,22,0.22,True,4205,,
PVF.HE_20250629201525_CH_EV,PVF,2145,1,2133,0.4795875549316406,2133,0.4795875549316406,12,0.12,True,2133,12,0.12
HEF.HE_20250227183848_HH_EV,HEF,4105,1,4155,0.21343883872032166,4155,0.21343883872032166,-50,0.5,True,4155,,
FIA0.HE_20251011133058_HH_EV,FIA0,4596,1,4633,0.3921767771244049,4633,0.3921767771244049,-37,0.37,True,4633,,
KU2.HE_20250123181846_SH_EV,KU2,3629,1,3699,0.2099522352218628,3699,0.2099522352218628,-70,0.7,False,,,
KIF.HE_20250621042137_HH_EV,KIF,3249,1,3269,0.4295969009399414,3269,0.4295969009399414,-20,0.2,True,3269,-20,0.2
KY17.HE_20250425212121_CH_EV,KY17,4997,2,4972,0.2475384771823883,4972,0.2475384771823883,25,0.25,True,,,
KU1.HE_20250310020826_SH_EV,KU1,4723,1,4757,0.4857756793498993,4757,0.4857756793498993,-34,0.34,True,4757,,
RNF.FN_20250102044156_BH_EV,RNF,4028,1,4011,0.27502113580703735,4011,0.27502113580703735,17,0.17,True,4011,17,0.17
FIA1.HE_20250727015824_HH_EV,FIA1,5003,2,5055,0.17137086391448975,5055,0.17137086391448975,-52,0.52,False,,,
KY17.HE_20251107205644_CH_EV,KY17,2200,1,2213,0.47942548990249634,2213,0.47942548990249634,-13,0.13,True,2213,-13,0.13
RNF.FN_20251202004311_BH_EV,RNF,4430,1,4396,0.28645414113998413,4396,0.28645414113998413,34,0.34,True,4396,,
