trace_name,station,true_s_sample,raw_s_peak_count,max_s_sample,max_s_probability,nearest_raw_s_sample,nearest_raw_s_probability,nearest_raw_s_error_samples,nearest_raw_s_abs_error_s,nearest_raw_s_within_near_samples,normal_picker_s_sample,normal_picker_s_error_samples,normal_picker_s_abs_error_s
TOF.HE_20251219083720_HH_EV,TOF,2205,1,2239,0.46430087089538574,2239,0.46430087089538574,-34,0.34,True,2239,,
TRE03.HE_20250801002018_CH_EV,TRE03,3154,1,3175,0.265357106924057,3175,0.265357106924057,-21,0.21,True,3175,,
KY17.HE_20250425183709_CH_EV,KY17,4276,1,4271,0.4763830006122589,4271,0.4763830006122589,5,0.05,True,4271,5,0.05
KEF.HE_20251203192732_HH_EV,KEF,5362,1,5353,0.4201304316520691,5353,0.4201304316520691,9,0.09,True,5353,9,0.09
RNF.FN_20250123181821_BH_EV,RNF,3905,1,3961,0.18924102187156677,3961,0.18924102187156677,-56,0.56,False,,,
MEF.HE_20250425214720_HH_EV,MEF,4374,1,4361,0.18359702825546265,4361,0.18359702825546265,13,0.13,True,4361,13,0.13
OUL.FN_20251030053453_BH_EV,OUL,4212,1,4209,0.2621331810951233,4209,0.2621331810951233,3,0.03,True,4209,3,0.03
PVF.HE_20250425211322_CH_EV,PVF,1497,1,0,0.23786142468452454,5998,0.20587360858917236,-4501,45.01,False,,,
KU6.HE_20251020001819_HH_EV,KU6,5048,1,5022,0.4845801591873169,5022,0.4845801591873169,26,0.26,True,5022,,
KIF.HE_20250714045752_HH_EV,KIF,4666,1,4674,0.19350671768188477,4674,0.19350671768188477,-8,0.08,True,4674,-8,0.08
TOF.HE_20250124182552_HH_EV,TOF,2153,1,2148,0.31730538606643677,2148,0.31730538606643677,5,0.05,True,2148,5,0.05
KU2.HE_20250405071745_SH_EV,KU2,2472,1,0,0.1559567153453827,5998,0.11790284514427185,-3526,35.26,False,,,
KY02.HE_20250801001939_CH_EV,KY02,2815,1,2867,0.27918726205825806,2867,0.27918726205825806,-52,0.52,False,2867,,
SGF.FN_20250112094242_BH_EV,SGF,4432,1,4421,0.15660515427589417,4421,0.15660515427589417,11,0.11,True,,,
JOF.HE_20250613143748_HH_EV,JOF,4686,2,5998,0.15808841586112976,4673,0.10543936491012573,13,0.13,True,,,
SUF.HE_20250613143803_HH_EV,SUF,4983,1,4969,0.23257675766944885,4969,0.23257675766944885,14,0.14,True,4969,14,0.14
FIA1.HE_20251222221635_HH_EV,FIA1,5166,2,5167,0.195699542760849,5167,0.195699542760849,-1,0.01,True,,,
RUF.HE_20250215085601_HH_EV,RUF,2826,1,2821,0.26666027307510376,2821,0.26666027307510376,5,0.05,True,2821,5,0.05
KU6.HE_20251030053444_HH_EV,KU6,1688,2,1697,0.4836972951889038,1695,0.4833880066871643,-7,0.07,True,1695,-7,0.07
RANF.FN_20250120005028_BH_EV,RANF,3293,2,3332,0.2588760256767273,3332,0.2588760256767273,-39,0.39,True,3332,,
KLF.FN_20250301012354_BH_EV,KLF,1964,1,1969,0.27227383852005005,1969,0.27227383852005005,-5,0.05,True,1969,-5,0.05
