trace_name,station,true_s_sample,raw_s_peak_count,max_s_sample,max_s_probability,nearest_raw_s_sample,nearest_raw_s_probability,nearest_raw_s_error_samples,nearest_raw_s_abs_error_s,nearest_raw_s_within_near_samples,normal_picker_s_sample,normal_picker_s_error_samples,normal_picker_s_abs_error_s
MSF.FN_20250108120153_HH_EV,MSF,4654,1,4653,0.257315456867218,4653,0.257315456867218,1,0.01,True,4653,1,0.01
TOF.HE_20250220150713_HH_EV,TOF,3034,1,3003,0.1560651659965515,3003,0.1560651659965515,31,0.31,True,,,
VUOS.HE_20250227105634_HH_EV,VUOS,5036,3,5017,0.1704014241695404,5017,0.1704014241695404,19,0.19,True,,,
KIF.HE_20250202230729_HH_EV,KIF,4945,1,4944,0.25320717692375183,4944,0.25320717692375183,1,0.01,True,4944,1,0.01
RAJF.FN_20250204120537_HH_EV,RAJF,4405,1,4405,0.14289933443069458,4405,0.14289933443069458,0,0.0,True,,,
KU6.HE_20250131091843_HH_EV,KU6,4176,0,4197,0.09629455208778381,,,,,False,,,
JOF.HE_20250219110248_HH_EV,JOF,4796,1,4845,0.10463792085647583,4845,0.10463792085647583,-49,0.49,True,,,
OBF3.HE_20250103123028_HH_EV,OBF3,2860,1,2905,0.18959444761276245,2905,0.18959444761276245,-45,0.45,True,,,
NUR.HE_20250115121526_HH_EV,NUR,3137,0,3477,0.0841107964515686,,,,,False,,,
HEF.HE_20250108164405_HH_EV,HEF,1727,0,1840,0.062077075242996216,,,,,False,,,
RANF.FN_20250113110103_HH_EV,RANF,4617,1,4622,0.20016294717788696,4622,0.20016294717788696,-5,0.05,True,,,
TVF.HE_20250213105534_HH_EV,TVF,2005,1,2029,0.2097730040550232,2029,0.2097730040550232,-24,0.24,True,,,
KAF.HE_20250225120217_HH_EV,KAF,2457,0,2669,0.07784593105316162,,,,,False,,,
KEF.HE_20250207121738_HH_EV,KEF,3629,1,3613,0.23753666877746582,3613,0.23753666877746582,16,0.16,True,,,
HEF.HE_20250217152617_HH_EV,HEF,4379,1,4368,0.20939481258392334,4368,0.20939481258392334,11,0.11,True,,,
OLKF.FN_20250217121415_HH_EV,OLKF,5144,1,5130,0.23429852724075317,5130,0.23429852724075317,14,0.14,True,5130,14,0.14
