trace_name,station,true_s_sample,raw_s_peak_count,max_s_sample,max_s_probability,nearest_raw_s_sample,nearest_raw_s_probability,nearest_raw_s_error_samples,nearest_raw_s_abs_error_s,nearest_raw_s_within_near_samples,normal_picker_s_sample,normal_picker_s_error_samples,normal_picker_s_abs_error_s
VAF.HE_20251203192730_HH_EV,VAF,4451,0,4507,0.08401316404342651,,,,,False,,,
SGF.FN_20250713191951_BH_EV,SGF,5236,0,0,0.00012159347534179688,,,,,False,,,
OUL.FN_20250630062950_BH_EV,OUL,5497,0,0,7.137656211853027e-05,,,,,False,,,
RNF.FN_20250131023126_BH_EV,RNF,5395,0,0,0.0002675652503967285,,,,,False,,,
KAF.HE_20250115090333_HH_EV,KAF,4297,0,0,8.058547973632812e-05,,,,,False,,,
OBF3.HE_20250412203522_HH_EV,OBF3,5305,0,0,0.00040283799171447754,,,,,False,,,
KIF.HE_20250524115324_HH_EV,KIF,2104,0,0,0.00010499358177185059,,,,,False,,,
KMNF.FN_20250301012411_BH_EV,KMNF,3150,0,0,9.316205978393555e-05,,,,,False,,,
FIA0.HE_20250828130419_HH_EV,FIA0,4652,0,0,7.107853889465332e-05,,,,,False,,,
TOF.HE_20251228223151_HH_EV,TOF,3486,0,0,6.580352783203125e-05,,,,,False,,,
VAF.HE_20250710233939_HH_EV,VAF,2947,0,3092,0.0006006956100463867,,,,,False,,,
LOVF.HE_20250715001510_CH_EV,LOVF,3594,0,0,0.000144273042678833,,,,,False,,,
KU1.HE_20250120005055_SH_EV,KU1,4158,1,4245,0.4854329228401184,4245,0.4854329228401184,-87,0.87,False,4245,-87,0.87
TOF.HE_20251219083720_HH_EV,TOF,2205,0,0,8.663535118103027e-05,,,,,False,,,
TRE03.HE_20250801002018_CH_EV,TRE03,3154,2,3260,0.17480745911598206,3220,0.1746768355369568,-66,0.66,False,3220,-66,0.66
KY17.HE_20250425183709_CH_EV,KY17,4276,0,4266,0.0017787516117095947,,,,,False,,,
KEF.HE_20251203192732_HH_EV,KEF,5362,0,0,0.0003847181797027588,,,,,False,,,
RNF.FN_20250123181821_BH_EV,RNF,3905,0,0,4.494190216064453e-05,,,,,False,,,
MEF.HE_20250425214720_HH_EV,MEF,4374,0,4876,0.0007880628108978271,,,,,False,,,
OUL.FN_20251030053453_BH_EV,OUL,4212,0,0,5.4895877838134766e-05,,,,,False,,,
PVF.HE_20250425211322_CH_EV,PVF,1497,0,0,4.166364669799805e-05,,,,,False,,,
KU6.HE_20251020001819_HH_EV,KU6,5048,0,0,0.00014588236808776855,,,,,False,,,
KIF.HE_20250714045752_HH_EV,KIF,4666,1,4671,0.2451809048652649,4671,0.2451809048652649,-5,0.05,True,4671,-5,0.05
TOF.HE_20250124182552_HH_EV,TOF,2153,0,0,8.302927017211914e-05,,,,,False,,,
KU2.HE_20250405071745_SH_EV,KU2,2472,0,5482,8.866190910339355e-05,,,,,False,,,
KY02.HE_20250801001939_CH_EV,KY02,2815,3,2919,0.4945010840892792,2919,0.4945010840892792,-104,1.04,False,2919,-104,1.04
SGF.FN_20250112094242_BH_EV,SGF,4432,0,0,0.00016441941261291504,,,,,False,,,
JOF.HE_20250613143748_HH_EV,JOF,4686,0,0,9.116530418395996e-05,,,,,False,,,
SUF.HE_20250613143803_HH_EV,SUF,4983,0,0,9.435415267944336e-05,,,,,False,,,
